n,Vf[V],V,V_unit,delta[uV],Ic[mA]
0,0.0,4.62104,V,7444.23,
1,0.1,3.567863,V,12929.3,
2,0.2,2.648979,V,7601.54,
3,0.3,1.915013,V,2273.67,
4,0.4,1.301532,V,2256.37,
5,0.5,0.8344071,V,4669.83,
6,0.6,0.4872113,V,1122.25,
7,0.7,0.2559616,V,348.959,
8,0.8,0.1102099,V,344.588,
9,0.9,0.02878084,V,586.288,
10,1.0,-0.01491882,V,313.633,
11,1.1,-0.0400838,V,333.815,
12,1.2,-0.05684361,V,378.049,
13,1.3,-0.06964881,V,285.582,
14,1.4,-0.07970052,V,511.866,
15,1.5,-0.0873972,V,375.652,
16,1.6,-0.09471774,V,236.872,
