n,Vf[V],V,V_unit,delta[uV],Ic[mA]
0,0.0,139.9608,mV,753.615,
1,0.1,60.74658,mV,801.281,
2,0.2,26.92186,mV,977.842,
3,0.3,13.93448,mV,1113.99,
4,0.4,9.069518,mV,745.765,
5,0.5,8.19688,mV,1614.52,
6,0.6,4.573913,mV,1178.27,
7,0.7,2.532679,mV,620.494,
8,0.8,1.137533,mV,370.44,
9,0.9,0.4690761,mV,448.788,
10,1.0,-0.837265,mV,290.639,
11,1.1,-1.619878,mV,375.796,
12,1.2,-2.734007,mV,591.972,
13,1.3,-3.12672,mV,885.546,
14,1.4,-3.796784,mV,1195.92,
15,1.5,-4.454333,mV,256.054,
16,1.6,-5.448245,mV,1205.75,
