n,Vf[V],V,V_unit,delta[uV],Ic[mA]
0,0.0,33.33701,mV,295.653,
1,0.1,25.93979,mV,262.176,
2,0.2,22.70279,mV,178.44,
3,0.3,20.85977,mV,237.168,
4,0.4,18.97562,mV,219.519,
5,0.5,17.44084,mV,234.279,
6,0.6,16.1337,mV,199.131,
7,0.7,15.04309,mV,167.618,
8,0.8,14.40702,mV,286.906,
9,0.9,13.87373,mV,277.084,
10,1.0,13.19487,mV,204.55,
11,1.1,12.71304,mV,225.979,
12,1.2,12.3563,mV,328.352,
13,1.3,11.98442,mV,178.607,
14,1.4,11.53767,mV,188.815,
15,1.5,11.67314,mV,3651.2,
16,1.6,11.52174,mV,183.132,
17,1.7,11.42379,mV,253.284,
18,1.8,11.1274,mV,316.607,
19,1.9,10.60384,mV,224.654,
20,2.0,12.21543,mV,235.5416,
21,2.5,10.89454,mV,250.272,
22,3.0,10.1197,mV,234.608,
23,3.5,9.889617,mV,182.428,
24,4.0,9.412554,mV,277.957,
25,4.5,8.705349,mV,227.765,
26,5.0,8.10816,mV,280.671,
27,5.5,7.924229,mV,222.193,
28,6.0,7.572101,mV,239.802,
29,6.5,7.14504,mV,202.958,
30,7.0,6.876592,mV,247.311,
31,7.5,6.245442,mV,325.694,
32,8.0,6.364213,mV,252.338,
33,8.5,5.98217,mV,228.581,
34,9.0,5.379658,mV,273.851,
35,9.5,5.337226,mV,267.805,
36,10.0,5.139015,mV,207.971,
37,10.5,4.718728,mV,192.619,
38,11.0,4.102416,mV,234.717,
39,11.5,4.151933,mV,240.399,
40,12.0,3.379621,mV,216.502,
41,12.5,3.956845,mV,254.643,
42,13.0,3.494871,mV,242.519,
43,14.0,2.395354,mV,349.981,
44,15.0,2.165966,mV,253.552,
45,16.0,1.768477,mV,262.274,
46,17.0,0.9969977,mV,265.187,
47,17.5,1.113755,mV,302.475,
48,18.0,0.831919,mV,272.261,
49,18.5,0.7160147,mV,244.115,
