n,Vf[V],V,V_unit,delta[uV],Ic[mA]
0,0.0,694.5471,mV,821.125,
1,0.1,333.9606,mV,1528.26,
2,0.2,127.5726,mV,972.167,
3,0.3,42.86845,mV,469.319,
4,0.4,13.06688,mV,962.509,
5,0.5,0.7411347,mV,459.724,
6,0.6,-6.333097,mV,420.928,
7,0.7,-12.78228,mV,2067.85,
8,0.8,-16.03528,mV,457.612,
9,0.9,-19.18701,mV,234.686,
10,1.0,-21.07523,mV,755.695,
11,1.1,-22.62344,mV,320.919,
12,1.2,-24.09763,mV,1118.26,
13,1.3,-25.85731,mV,559.404,
14,1.4,-27.20851,mV,372.336,
15,1.5,-27.61688,mV,1184.42,
16,1.6,-28.78877,mV,226.205,
