n,Vf[V],V,V_unit,delta[uV],Ic[mA]
0,0.0,3.410783,V,3859.92,
1,0.1,2.752132,V,10442.5,
2,0.2,2.182867,V,4671.52,
3,0.3,1.673311,V,3994.88,
4,0.4,1.255944,V,2554.06,
5,0.5,0.9096627,V,2358.84,
6,0.6,0.6254062,V,1645.75,
7,0.7,0.4038783,V,568.974,
8,0.8,0.243641,V,757.542,
9,0.9,0.1344732,V,539.174,
10,1.0,0.06218703,V,692.515,
11,1.1,0.01732196,V,565.766,
12,1.2,-0.01184605,V,516.195,
13,1.3,-0.03004859,V,490.744,
14,1.4,-0.04212927,V,344.647,
15,1.5,-0.0523587,V,327.567,
16,1.6,-0.06128723,V,535.009,
